01, 32, 16, 32, 143
01, 32, 16, 32, 213
01, 32, 16, 32, 145
01, 32, 16, 32, 135
01, 32, 16, 32, 127
02, 32, 32, 32, 161
02, 32, 32, 32, 142
02, 32, 32, 32, 163
02, 32, 32, 32, 146
02, 32, 32, 32, 153
03, 32, 64, 32, 153
03, 32, 64, 32, 141
03, 32, 64, 32, 151
03, 32, 64, 32, 152
03, 32, 64, 32, 153
04, 32, 128, 32, 151
04, 32, 128, 32, 147
04, 32, 128, 32, 153
04, 32, 128, 32, 144
04, 32, 128, 32, 138
05, 32, 512, 32, 134
05, 32, 512, 32, 145
05, 32, 512, 32, 131
05, 32, 512, 32, 153
05, 32, 512, 32, 142
06, 32, 1024, 32, 142
06, 32, 1024, 32, 178
06, 32, 1024, 32, 157
06, 32, 1024, 32, 150
06, 32, 1024, 32, 142
07, 32, 2048, 32, 143
07, 32, 2048, 32, 137
07, 32, 2048, 32, 152
07, 32, 2048, 32, 148
07, 32, 2048, 32, 155
08, 32, 4096, 32, 146
08, 32, 4096, 32, 147
08, 32, 4096, 32, 149
08, 32, 4096, 32, 139
08, 32, 4096, 32, 155
