01, 2, 16, 32, 134
01, 2, 16, 32, 139
01, 2, 16, 32, 131
01, 2, 16, 32, 136
01, 2, 16, 32, 135
02, 2, 32, 32, 131
02, 2, 32, 32, 129
02, 2, 32, 32, 133
02, 2, 32, 32, 127
02, 2, 32, 32, 133
03, 2, 64, 32, 133
03, 2, 64, 32, 140
03, 2, 64, 32, 135
03, 2, 64, 32, 137
03, 2, 64, 32, 135
04, 2, 128, 32, 137
04, 2, 128, 32, 138
04, 2, 128, 32, 130
04, 2, 128, 32, 133
04, 2, 128, 32, 131
05, 2, 512, 32, 130
05, 2, 512, 32, 131
05, 2, 512, 32, 131
05, 2, 512, 32, 132
05, 2, 512, 32, 130
06, 2, 1024, 32, 130
06, 2, 1024, 32, 132
06, 2, 1024, 32, 126
06, 2, 1024, 32, 133
06, 2, 1024, 32, 135
07, 2, 2048, 32, 134
07, 2, 2048, 32, 130
07, 2, 2048, 32, 130
07, 2, 2048, 32, 131
07, 2, 2048, 32, 131
08, 2, 4096, 32, 129
08, 2, 4096, 32, 137
08, 2, 4096, 32, 127
08, 2, 4096, 32, 127
08, 2, 4096, 32, 124
