01, 01, 1, 1483
02, 01, 2, 1536
03, 02, 1, 1462
04, 02, 2, 792
05, 03, 1, 1441
06, 03, 3, 575
07, 03, 6, 552
08, 04, 1, 1414
09, 04, 2, 774
11, 08, 2, 760
12, 08, 4, 406
13, 08, 8, 233
14, 12, 2, 763
15, 12, 4, 413
16, 12, 8, 246
17, 12, 10, 208
18, 12, 12, 192
19, 16, 8, 236
20, 16, 12, 189
21, 16, 16, 157
22, 20, 12, 181
23, 20, 16, 156
24, 20, 20, 154
25, 24, 12, 181
26, 24, 16, 167
27, 24, 20, 151
28, 24, 24, 151
29, 28, 12, 184
30, 28, 16, 170
31, 28, 20, 155
32, 28, 24, 138
33, 28, 28, 130
34, 32, 12, 191
35, 32, 16, 160
36, 32, 20, 154
37, 32, 24, 145
38, 32, 28, 141
39, 32, 32, 142
