01, 4, 16, 32, 122
01, 4, 16, 32, 120
01, 4, 16, 32, 132
01, 4, 16, 32, 132
01, 4, 16, 32, 127
02, 4, 32, 32, 131
02, 4, 32, 32, 120
02, 4, 32, 32, 127
02, 4, 32, 32, 125
02, 4, 32, 32, 124
03, 4, 64, 32, 125
03, 4, 64, 32, 127
03, 4, 64, 32, 125
03, 4, 64, 32, 123
03, 4, 64, 32, 134
04, 4, 128, 32, 122
04, 4, 128, 32, 125
04, 4, 128, 32, 124
04, 4, 128, 32, 134
04, 4, 128, 32, 118
05, 4, 512, 32, 122
05, 4, 512, 32, 131
05, 4, 512, 32, 127
05, 4, 512, 32, 122
05, 4, 512, 32, 126
06, 4, 1024, 32, 123
06, 4, 1024, 32, 119
06, 4, 1024, 32, 121
06, 4, 1024, 32, 123
06, 4, 1024, 32, 131
07, 4, 2048, 32, 124
07, 4, 2048, 32, 125
07, 4, 2048, 32, 125
07, 4, 2048, 32, 130
07, 4, 2048, 32, 125
08, 4, 4096, 32, 123
08, 4, 4096, 32, 129
08, 4, 4096, 32, 124
08, 4, 4096, 32, 140
08, 4, 4096, 32, 132
