1012,18284,15,1455546369008,1455546369735,699
1012,18301,32,1455546369009,1455546369736,708
1012,18271,2,1455546369006,1455546369739,716
1012,18314,45,1455546369010,1455546369745,710
1012,18320,51,1455546369011,1455546369745,714
1012,18272,3,1455546369007,1455546369745,719
1012,18278,9,1455546369007,1455546369746,717
1012,18330,61,1455546369012,1455546369746,720
1012,18286,17,1455546369008,1455546369746,720
1012,18280,11,1455546369007,1455546369749,723
1012,18303,34,1455546369009,1455546369750,725
1012,18299,30,1455546369009,1455546369750,724
1012,18300,31,1455546369009,1455546369753,728
1012,18270,1,1455546369006,1455546369753,728
1012,18326,57,1455546369011,1455546369757,733
1012,18306,37,1455546369010,1455546369759,735
1012,18276,7,1455546369007,1455546369762,737
1012,18296,27,1455546369009,1455546369763,738
1012,18308,39,1455546369010,1455546369764,738
1012,18302,33,1455546369009,1455546369770,745
1012,18294,25,1455546369009,1455546369771,742
1012,18312,43,1455546369010,1455546369774,750
1012,18290,21,1455546369008,1455546369776,751
1012,18287,18,1455546369008,1455546369778,749
1012,18316,47,1455546369011,1455546369780,756
1012,18274,5,1455546369007,1455546369780,754
1012,18305,36,1455546369010,1455546369788,762
1012,18304,35,1455546369009,1455546369792,768
1012,18318,49,1455546369011,1455546369792,769
1012,18298,29,1455546369009,1455546369798,773
1012,18328,59,1455546369012,1455546369830,775
1012,18292,23,1455546369008,1455546369838,813
1012,18288,19,1455546369008,1455546369847,823
1012,18322,53,1455546369011,1455546369856,832
1012,18282,13,1455546369007,1455546369876,852
1016,18380,39,1455546370173,1455546370878,687
1016,18366,25,1455546370172,1455546370878,688
1016,18350,9,1455546370171,1455546370880,688
1016,18356,15,1455546370171,1455546370881,657
1016,18386,45,1455546370174,1455546370882,693
1016,18358,17,1455546370171,1455546370882,659
1016,18404,63,1455546370175,1455546370882,659
1016,18392,51,1455546370174,1455546370882,659
1016,18362,21,1455546370172,1455546370883,692
1016,18368,27,1455546370172,1455546370884,661
1016,18344,3,1455546370170,1455546370887,697
1016,18372,31,1455546370173,1455546370890,665
1016,18402,61,1455546370175,1455546370891,701
1016,18348,7,1455546370170,1455546370893,705
1016,18364,23,1455546370172,1455546370894,671
1016,18398,57,1455546370175,1455546370898,707
1016,18384,43,1455546370174,1455546370902,711
1016,18346,5,1455546370170,1455546370902,678
1016,18394,53,1455546370175,1455546370903,714
1016,18378,37,1455546370173,1455546370904,714
1016,18352,11,1455546370171,1455546370907,684
1016,18374,33,1455546370173,1455546370908,685
1016,18370,29,1455546370172,1455546370908,718
1016,18342,1,1455546370170,1455546370912,724
1016,18388,47,1455546370174,1455546370913,724
1016,18360,19,1455546370171,1455546370915,726
1016,18396,55,1455546370175,1455546370921,730
1016,18376,35,1455546370173,1455546370924,735
1016,18400,59,1455546370175,1455546370942,751
