8,16,1452693432872,1452693435318
9,4,1452693435331,1452693435407
12,16,1452693435496,1452693436199
13,4,1452693436211,1452693436262
16,16,1452693436350,1452693438549
17,4,1452693438560,1452693438617
20,16,1452693438724,1452693441723
21,4,1452693441733,1452693441785
24,16,1452693441859,1452693442308
25,4,1452693442322,1452693442373
28,16,1452693442453,1452693444932
29,4,1452693444942,1452693444999
32,16,1452693445152,1452693445565
33,4,1452693445574,1452693445622
36,16,1452693445681,1452693446113
37,4,1452693446124,1452693446173
40,16,1452693446244,1452693446627
41,4,1452693446640,1452693446684
44,16,1452693446750,1452693447222
45,4,1452693447234,1452693447278
48,16,1452693447341,1452693447748
49,4,1452693447765,1452693447808
52,16,1452693447867,1452693450481
53,4,1452693450489,1452693450560
56,16,1452693450622,1452693453190
57,4,1452693453199,1452693453242
60,16,1452693453298,1452693456107
61,4,1452693456120,1452693456160
64,16,1452693456218,1452693459046
65,4,1452693459059,1452693459101
68,16,1452693459160,1452693460609
69,4,1452693460620,1452693460662
72,16,1452693460720,1452693461116
73,4,1452693461128,1452693461168
76,16,1452693461222,1452693461588
77,4,1452693461597,1452693461637
80,16,1452693461692,1452693462106
81,4,1452693462113,1452693462148
84,16,1452693462196,1452693462566
85,4,1452693462572,1452693462606
88,16,1452693462652,1452693463005
89,4,1452693463010,1452693463041
92,16,1452693463087,1452693463530
93,4,1452693463535,1452693463567
96,16,1452693463612,1452693463997
97,4,1452693464003,1452693464036
100,16,1452693464101,1452693464463
101,4,1452693464468,1452693464507
104,16,1452693464545,1452693464933
105,4,1452693464941,1452693464977
108,16,1452693465019,1452693465457
109,4,1452693465464,1452693465500
112,16,1452693465541,1452693465902
113,4,1452693465909,1452693465945
116,16,1452693465986,1452693466422
117,4,1452693466429,1452693466464
120,16,1452693466504,1452693466862
121,4,1452693466869,1452693466903
124,16,1452693466943,1452693467325
125,4,1452693467332,1452693467366
128,16,1452693467421,1452693467843
129,4,1452693467849,1452693467883
132,16,1452693467922,1452693468323
133,4,1452693468330,1452693468363
136,16,1452693468400,1452693468806
137,4,1452693468812,1452693468844
140,16,1452693468881,1452693469298
141,4,1452693469304,1452693469336
144,16,1452693469373,1452693469740
145,4,1452693469747,1452693469780
148,16,1452693469815,1452693470189
149,4,1452693470195,1452693470226
152,16,1452693470263,1452693470623
153,4,1452693470629,1452693470660
156,16,1452693470696,1452693471071
157,4,1452693471077,1452693471106
160,16,1452693471154,1452693471546
161,4,1452693471552,1452693471582
164,16,1452693471618,1452693471982
165,4,1452693471990,1452693472022
168,16,1452693472057,1452693472411
169,4,1452693472417,1452693472447
172,16,1452693472483,1452693472833
173,4,1452693472839,1452693472867
176,16,1452693472903,1452693473265
177,4,1452693473272,1452693473299
180,16,1452693473336,1452693473704
181,4,1452693473711,1452693473741
184,16,1452693473778,1452693474138
185,4,1452693474144,1452693474172
188,16,1452693474207,1452693474550
189,4,1452693474556,1452693474585
192,16,1452693474622,1452693474986
