stage,task,task_id,start,finish,deserial,serial,run_time,jvm_gc
71,102,3,1452689787264,1452689788396,17,0,1107,19
74,103,0,1452689788517,1452689789715,17,0,1171,18
74,104,1,1452689788517,1452689789637,18,0,1091,18
74,105,2,1452689788518,1452689789676,18,0,1131,18
74,106,3,1452689788519,1452689789657,17,0,1112,18
77,107,0,1452689789752,1452689790954,18,0,1174,20
77,108,1,1452689789753,1452689790908,20,1,1124,20
77,109,2,1452689789753,1452689790893,16,0,1112,20
77,110,3,1452689789754,1452689790909,17,1,1128,20
80,111,0,1452689790993,1452689792194,18,0,1173,17
80,112,1,1452689790994,1452689792127,19,0,1104,17
80,113,2,1452689790994,1452689792148,19,0,1126,17
80,114,3,1452689790995,1452689792146,19,0,1123,17
83,115,0,1452689792233,1452689793440,18,0,1179,18
83,116,1,1452689792233,1452689793375,19,0,1112,18
83,117,2,1452689792234,1452689793381,18,0,1120,18
83,118,3,1452689792234,1452689793399,17,1,1139,18
86,119,0,1452689793481,1452689794703,16,1,1196,15
86,120,1,1452689793482,1452689794595,16,0,1088,0
86,121,2,1452689793482,1452689794624,17,0,1115,0
86,122,3,1452689793483,1452689794658,17,0,1149,15
89,123,0,1452689794742,1452689795947,17,0,1179,0
89,124,1,1452689794742,1452689795852,17,0,1083,0
89,125,2,1452689794743,1452689795899,17,0,1131,0
89,126,3,1452689794743,1452689795898,18,0,1128,0
92,127,0,1452689795981,1452689797186,19,0,1176,8
92,128,1,1452689795981,1452689797132,21,0,1118,8
92,129,2,1452689795982,1452689797133,18,1,1121,8
92,130,3,1452689795983,1452689797140,18,0,1130,8
95,131,0,1452689797220,1452689798432,20,0,1182,8
95,132,1,1452689797220,1452689798337,18,0,1088,8
95,133,2,1452689797221,1452689798351,18,0,1103,8
95,134,3,1452689797222,1452689798465,18,0,1216,8
98,135,0,1452689798520,1452689799732,20,0,1183,10
98,136,1,1452689798521,1452689799676,19,1,1127,10
98,137,2,1452689798521,1452689799666,20,1,1114,10
98,138,3,1452689798522,1452689799674,19,0,1124,10
101,139,0,1452689799765,1452689801005,19,1,1209,13
101,140,1,1452689799766,1452689800912,18,0,1118,13
101,141,2,1452689799766,1452689800903,18,0,1108,13
101,142,3,1452689799767,1452689800923,17,0,1129,13
104,143,0,1452689801047,1452689802262,16,0,1188,16
104,144,1,1452689801048,1452689802154,17,0,1079,16
104,145,2,1452689801048,1452689802201,17,0,1126,16
104,146,3,1452689801049,1452689802188,14,0,1115,16
107,147,0,1452689802304,1452689803474,17,0,1143,16
107,148,1,1452689802305,1452689803439,17,0,1107,16
107,149,2,1452689802305,1452689803436,17,0,1103,16
107,150,3,1452689802306,1452689803442,17,0,1110,16
110,151,0,1452689803515,1452689804717,17,0,1176,19
110,152,1,1452689803516,1452689804627,18,1,1083,19
110,153,2,1452689803516,1452689804655,18,0,1112,19
110,154,3,1452689803517,1452689804671,18,0,1128,19
113,155,0,1452689804756,1452689806046,17,0,1263,16
113,156,1,1452689804757,1452689805880,16,0,1098,16
113,157,2,1452689804757,1452689805915,16,1,1132,16
113,158,3,1452689804758,1452689805911,16,0,1128,16
116,159,0,1452689806085,1452689807325,17,1,1213,20
116,160,1,1452689806085,1452689807239,16,0,1129,20
116,161,2,1452689806086,1452689807237,17,0,1124,20
116,162,3,1452689806086,1452689807243,17,0,1131,20
119,163,0,1452689807365,1452689808590,18,0,1198,18
119,164,1,1452689807366,1452689808474,19,1,1079,0
119,165,2,1452689807366,1452689808532,18,0,1139,18
119,166,3,1452689807367,1452689808531,18,0,1136,18
122,167,0,1452689808624,1452689809828,17,0,1177,13
122,168,1,1452689808625,1452689809756,18,1,1102,0
122,169,2,1452689808625,1452689809757,16,0,1105,0
122,170,3,1452689808626,1452689809765,17,0,1112,0
125,171,0,1452689809859,1452689811074,18,0,1188,0
125,172,1,1452689809859,1452689810966,17,0,1079,0
125,173,2,1452689809860,1452689810982,18,0,1095,0
125,174,3,1452689809860,1452689811046,17,0,1159,0
128,175,0,1452689811122,1452689812348,16,0,1200,8
128,176,1,1452689811123,1452689812265,17,0,1114,8
128,177,2,1452689811123,1452689812265,16,0,1115,8
